"source_taxon_name","source_taxon_path","source_taxon_path_ids","source_specimen_life_stage_id","source_specimen_life_stage","source_specimen_physiological_state_id","source_specimen_physiological_state","source_specimen_body_part_id","source_specimen_body_part","interaction_type","target_taxon_name","target_taxon_path","target_taxon_path_ids","target_specimen_life_stage_id","target_specimen_physiological_state","target_specimen_physiological_state_id","target_specimen_physiological_state","target_specimen_body_part_id","target_specimen_body_part","latitude","longitude","study_citation","study_url","study_source_citation"
"Opius","Animalia | Arthropoda | Insecta | Hymenoptera | Ichneumonoidea | Braconidae | Opius","EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:660 | EOL:661 | EOL:72936",,,,,,,"parasiteOf","Tomoplagia","Animalia | Arthropoda | Insecta | Diptera | Tephritidae | Tomoplagia","EOL:1 | EOL:164 | EOL:344 | EOL:421 | EOL:9023 | EOL:79453",,,,,,,,,"Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.",,"Sarah E. Miller.  04/14/2015.  Information extracted from litterature Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.. Accessed at <https://github.com/millerse/Wharton-and-Marsh-1978.-New-World-Opiinae/archive/5e6ca4a365cc982805ccad588dc129d4bb230f4e.zip> on 24 Sep 2018."
"Opius","Animalia | Arthropoda | Insecta | Hymenoptera | Ichneumonoidea | Braconidae | Opius","EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:660 | EOL:661 | EOL:72936",,,,,,,"parasiteOf","Rhagoletis tabellaria","Animalia | Arthropoda | Insecta | Diptera | Tephritidae | Rhagoletis | Rhagoletis tabellaria","EOL:1 | EOL:164 | EOL:344 | EOL:421 | EOL:9023 | EOL:25780 | EOL:726922",,,,,,,,,"Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.",,"Sarah E. Miller.  04/14/2015.  Information extracted from litterature Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.. Accessed at <https://github.com/millerse/Wharton-and-Marsh-1978.-New-World-Opiinae/archive/5e6ca4a365cc982805ccad588dc129d4bb230f4e.zip> on 24 Sep 2018."
"Opius","Animalia | Arthropoda | Insecta | Hymenoptera | Ichneumonoidea | Braconidae | Opius","EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:660 | EOL:661 | EOL:72936",,,,,,,"parasiteOf","Rhagoletis pomonella","Animalia | Arthropoda | Insecta | Diptera | Tephritidae | Rhagoletis | Rhagoletis pomonella","EOL:1 | EOL:164 | EOL:344 | EOL:421 | EOL:9023 | EOL:25780 | EOL:723988",,,,,,,,,"Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.",,"Sarah E. Miller.  04/14/2015.  Information extracted from litterature Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.. Accessed at <https://github.com/millerse/Wharton-and-Marsh-1978.-New-World-Opiinae/archive/5e6ca4a365cc982805ccad588dc129d4bb230f4e.zip> on 24 Sep 2018."
"Opius","Animalia | Arthropoda | Insecta | Hymenoptera | Ichneumonoidea | Braconidae | Opius","EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:660 | EOL:661 | EOL:72936",,,,,,,"parasiteOf","Rhagoletis basiola","Animalia | Arthropoda | Insecta | Diptera | Tephritidae | Rhagoletis | Rhagoletis basiola","EOL:1 | EOL:164 | EOL:344 | EOL:421 | EOL:9023 | EOL:25780 | EOL:724549",,,,,,,,,"Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.",,"Sarah E. Miller.  04/14/2015.  Information extracted from litterature Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.. Accessed at <https://github.com/millerse/Wharton-and-Marsh-1978.-New-World-Opiinae/archive/5e6ca4a365cc982805ccad588dc129d4bb230f4e.zip> on 24 Sep 2018."
"Opius","Animalia | Arthropoda | Insecta | Hymenoptera | Ichneumonoidea | Braconidae | Opius","EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:660 | EOL:661 | EOL:72936",,,,,,,"parasiteOf","Rhagoletis indifferens","Animalia | Arthropoda | Insecta | Diptera | Tephritidae | Rhagoletis | Rhagoletis indifferens","EOL:1 | EOL:164 | EOL:344 | EOL:421 | EOL:9023 | EOL:25780 | EOL:727253",,,,,,,,,"Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.",,"Sarah E. Miller.  04/14/2015.  Information extracted from litterature Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.. Accessed at <https://github.com/millerse/Wharton-and-Marsh-1978.-New-World-Opiinae/archive/5e6ca4a365cc982805ccad588dc129d4bb230f4e.zip> on 24 Sep 2018."
"Opius","Animalia | Arthropoda | Insecta | Hymenoptera | Ichneumonoidea | Braconidae | Opius","EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:660 | EOL:661 | EOL:72936",,,,,,,"parasiteOf","Rhagoletis tabellaria","Animalia | Arthropoda | Insecta | Diptera | Tephritidae | Rhagoletis | Rhagoletis tabellaria","EOL:1 | EOL:164 | EOL:344 | EOL:421 | EOL:9023 | EOL:25780 | EOL:726922",,,,,,,,,"Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.",,"Sarah E. Miller.  04/14/2015.  Information extracted from litterature Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.. Accessed at <https://github.com/millerse/Wharton-and-Marsh-1978.-New-World-Opiinae/archive/5e6ca4a365cc982805ccad588dc129d4bb230f4e.zip> on 24 Sep 2018."
"Opius","Animalia | Arthropoda | Insecta | Hymenoptera | Ichneumonoidea | Braconidae | Opius","EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:660 | EOL:661 | EOL:72936",,,,,,,"parasiteOf","Tomoplagia","Animalia | Arthropoda | Insecta | Diptera | Tephritidae | Tomoplagia","EOL:1 | EOL:164 | EOL:344 | EOL:421 | EOL:9023 | EOL:79453",,,,,,,,,"Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.",,"Sarah E. Miller.  04/14/2015.  Information extracted from litterature Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.. Accessed at <https://github.com/millerse/Wharton-and-Marsh-1978.-New-World-Opiinae/archive/5e6ca4a365cc982805ccad588dc129d4bb230f4e.zip> on 24 Sep 2018."
"Opius","Animalia | Arthropoda | Insecta | Hymenoptera | Ichneumonoidea | Braconidae | Opius","EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:660 | EOL:661 | EOL:72936",,,,,,,"parasiteOf","Anastrepha","Animalia | Arthropoda | Insecta | Diptera | Tephritidae | Anastrepha","EOL:1 | EOL:164 | EOL:344 | EOL:421 | EOL:9023 | EOL:79415",,,,,,,,,"Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.",,"Sarah E. Miller.  04/14/2015.  Information extracted from litterature Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.. Accessed at <https://zenodo.org/record/258215/files/millerse/Fly-parasites-v1.0.zip> on 24 Sep 2018."
"Opius","Animalia | Arthropoda | Insecta | Hymenoptera | Ichneumonoidea | Braconidae | Opius","EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:660 | EOL:661 | EOL:72936",,,,,,,"parasiteOf","Anastrepha striata","Animalia | Arthropoda | Insecta | Diptera | Tephritidae | Anastrepha | Anastrepha striata","EOL:1 | EOL:164 | EOL:344 | EOL:421 | EOL:9023 | EOL:79415 | EOL:724410",,,,,,,,,"Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.",,"Sarah E. Miller.  04/14/2015.  Information extracted from litterature Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.. Accessed at <https://zenodo.org/record/258215/files/millerse/Fly-parasites-v1.0.zip> on 24 Sep 2018."
"Opius","Animalia | Arthropoda | Insecta | Hymenoptera | Ichneumonoidea | Braconidae | Opius","EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:660 | EOL:661 | EOL:72936",,,,,,,"parasiteOf","Rhagoletis pomonella","Animalia | Arthropoda | Insecta | Diptera | Tephritidae | Rhagoletis | Rhagoletis pomonella","EOL:1 | EOL:164 | EOL:344 | EOL:421 | EOL:9023 | EOL:25780 | EOL:723988",,,,,,,,,"Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.",,"Sarah E. Miller.  04/14/2015.  Information extracted from litterature Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.. Accessed at <https://zenodo.org/record/258215/files/millerse/Fly-parasites-v1.0.zip> on 24 Sep 2018."
"Opius","Animalia | Arthropoda | Insecta | Hymenoptera | Ichneumonoidea | Braconidae | Opius","EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:660 | EOL:661 | EOL:72936",,,,,,,"parasiteOf","Rhagoletis tabellaria","Animalia | Arthropoda | Insecta | Diptera | Tephritidae | Rhagoletis | Rhagoletis tabellaria","EOL:1 | EOL:164 | EOL:344 | EOL:421 | EOL:9023 | EOL:25780 | EOL:726922",,,,,,,,,"Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.",,"Sarah E. Miller.  04/14/2015.  Information extracted from litterature Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.. Accessed at <https://zenodo.org/record/258215/files/millerse/Fly-parasites-v1.0.zip> on 24 Sep 2018."
"Opius","Animalia | Arthropoda | Insecta | Hymenoptera | Ichneumonoidea | Braconidae | Opius","EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:660 | EOL:661 | EOL:72936",,,,,,,"parasiteOf","Rhagoletis","Animalia | Arthropoda | Insecta | Diptera | Tephritidae | Rhagoletis","EOL:1 | EOL:164 | EOL:344 | EOL:421 | EOL:9023 | EOL:25780",,,,,,,,,"Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.",,"Sarah E. Miller.  04/14/2015.  Information extracted from litterature Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.. Accessed at <https://zenodo.org/record/258215/files/millerse/Fly-parasites-v1.0.zip> on 24 Sep 2018."
"Opius","Animalia | Arthropoda | Insecta | Hymenoptera | Ichneumonoidea | Braconidae | Opius","EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:660 | EOL:661 | EOL:72936",,,,,,,"parasiteOf","Myoleja limata","Cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Protostomia | Ecdysozoa | Panarthropoda | Arthropoda | Mandibulata | Pancrustacea | Hexapoda | Insecta | Dicondylia | Pterygota | Neoptera | Endopterygota | Diptera | Brachycera | Muscomorpha | Eremoneura | Cyclorrhapha | Schizophora | Acalyptratae | Tephritoidea | Tephritidae | Trypetinae | Trypetini | Chetostomatina | Myoleja | Myoleja limata","EOL:6061725 | EOL:2908256 | EOL:2910700 | EOL:1 | EOL:10380067 | EOL:3014411 | EOL:10459935 | EOL:8880788 | EOL:12008312 | EOL:164 | EOL:5003390 | EOL:10578120 | EOL:2634370 | EOL:344 | EOL:2765371 | EOL:12024878 | EOL:1327472 | EOL:3016961 | EOL:421 | EOL:1300082 | EOL:1300069 | EOL:1300129 | EOL:1300106 | EOL:10559440 | EOL:1300053 | EOL:10576451 | EOL:9023 | EOL:12060573 | EOL:12060632 | EOL:12060680 | EOL:26835 | EOL:10674496",,,,,,,,,"Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.",,"Sarah E. Miller.  04/14/2015.  Information extracted from litterature Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.. Accessed at <https://zenodo.org/record/258215/files/millerse/Fly-parasites-v1.0.zip> on 24 Sep 2018."
"Opius","Animalia | Arthropoda | Insecta | Hymenoptera | Ichneumonoidea | Braconidae | Opius","EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:660 | EOL:661 | EOL:72936",,,,,,,"parasiteOf","Rhagoletis fausta","Animalia | Arthropoda | Insecta | Diptera | Tephritidae | Rhagoletis | Rhagoletis fausta","EOL:1 | EOL:164 | EOL:344 | EOL:421 | EOL:9023 | EOL:25780 | EOL:724553",,,,,,,,,"Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.",,"Sarah E. Miller.  04/14/2015.  Information extracted from litterature Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.. Accessed at <https://zenodo.org/record/258215/files/millerse/Fly-parasites-v1.0.zip> on 24 Sep 2018."
"Opius","Animalia | Arthropoda | Insecta | Hymenoptera | Ichneumonoidea | Braconidae | Opius","EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:660 | EOL:661 | EOL:72936",,,,,,,"parasiteOf","Rhagoletis cingulata","Animalia | Arthropoda | Insecta | Diptera | Tephritidae | Rhagoletis | Rhagoletis cingulata","EOL:1 | EOL:164 | EOL:344 | EOL:421 | EOL:9023 | EOL:25780 | EOL:725293",,,,,,,,,"Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.",,"Sarah E. Miller.  04/14/2015.  Information extracted from litterature Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.. Accessed at <https://zenodo.org/record/258215/files/millerse/Fly-parasites-v1.0.zip> on 24 Sep 2018."
"Opius","Animalia | Arthropoda | Insecta | Hymenoptera | Ichneumonoidea | Braconidae | Opius","EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:660 | EOL:661 | EOL:72936",,,,,,,"parasiteOf","Rhagoletis pomonella","Animalia | Arthropoda | Insecta | Diptera | Tephritidae | Rhagoletis | Rhagoletis pomonella","EOL:1 | EOL:164 | EOL:344 | EOL:421 | EOL:9023 | EOL:25780 | EOL:723988",,,,,,,,,"Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.",,"Sarah E. Miller.  04/14/2015.  Information extracted from litterature Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.. Accessed at <https://zenodo.org/record/258215/files/millerse/Fly-parasites-v1.0.zip> on 24 Sep 2018."
"Opius","Animalia | Arthropoda | Insecta | Hymenoptera | Ichneumonoidea | Braconidae | Opius","EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:660 | EOL:661 | EOL:72936",,,,,,,"parasiteOf","Rhagoletis zephyria","Animalia | Arthropoda | Insecta | Diptera | Tephritidae | Rhagoletis | Rhagoletis zephyria","EOL:1 | EOL:164 | EOL:344 | EOL:421 | EOL:9023 | EOL:25780 | EOL:724249",,,,,,,,,"Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.",,"Sarah E. Miller.  04/14/2015.  Information extracted from litterature Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.. Accessed at <https://zenodo.org/record/258215/files/millerse/Fly-parasites-v1.0.zip> on 24 Sep 2018."
"Opius","Animalia | Arthropoda | Insecta | Hymenoptera | Ichneumonoidea | Braconidae | Opius","EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:660 | EOL:661 | EOL:72936",,,,,,,"parasiteOf","Rhagoletis fausta","Animalia | Arthropoda | Insecta | Diptera | Tephritidae | Rhagoletis | Rhagoletis fausta","EOL:1 | EOL:164 | EOL:344 | EOL:421 | EOL:9023 | EOL:25780 | EOL:724553",,,,,,,,,"Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.",,"Sarah E. Miller.  04/14/2015.  Information extracted from litterature Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.. Accessed at <https://zenodo.org/record/258215/files/millerse/Fly-parasites-v1.0.zip> on 24 Sep 2018."
"Opius","Animalia | Arthropoda | Insecta | Hymenoptera | Ichneumonoidea | Braconidae | Opius","EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:660 | EOL:661 | EOL:72936",,,,,,,"parasiteOf","Rhagoletis tabellaria","Animalia | Arthropoda | Insecta | Diptera | Tephritidae | Rhagoletis | Rhagoletis tabellaria","EOL:1 | EOL:164 | EOL:344 | EOL:421 | EOL:9023 | EOL:25780 | EOL:726922",,,,,,,,,"Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.",,"Sarah E. Miller.  04/14/2015.  Information extracted from litterature Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.. Accessed at <https://zenodo.org/record/258215/files/millerse/Fly-parasites-v1.0.zip> on 24 Sep 2018."
"Opius","Animalia | Arthropoda | Insecta | Hymenoptera | Ichneumonoidea | Braconidae | Opius","EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:660 | EOL:661 | EOL:72936",,,,,,,"parasiteOf","Rhagoletis mendax","Animalia | Arthropoda | Insecta | Diptera | Tephritidae | Rhagoletis | Rhagoletis mendax","EOL:1 | EOL:164 | EOL:344 | EOL:421 | EOL:9023 | EOL:25780 | EOL:727255",,,,,,,,,"Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.",,"Sarah E. Miller.  04/14/2015.  Information extracted from litterature Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.. Accessed at <https://zenodo.org/record/258215/files/millerse/Fly-parasites-v1.0.zip> on 24 Sep 2018."
"Opius","Animalia | Arthropoda | Insecta | Hymenoptera | Ichneumonoidea | Braconidae | Opius","EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:660 | EOL:661 | EOL:72936",,,,,,,"parasiteOf","Rhagoletis","Animalia | Arthropoda | Insecta | Diptera | Tephritidae | Rhagoletis","EOL:1 | EOL:164 | EOL:344 | EOL:421 | EOL:9023 | EOL:25780",,,,,,,,,"Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.",,"Sarah E. Miller.  04/14/2015.  Information extracted from litterature Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.. Accessed at <https://zenodo.org/record/258215/files/millerse/Fly-parasites-v1.0.zip> on 24 Sep 2018."
"Opius","Animalia | Arthropoda | Insecta | Hymenoptera | Ichneumonoidea | Braconidae | Opius","EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:660 | EOL:661 | EOL:72936",,,,,,,"parasiteOf","Anastrepha fraterculus","Animalia | Arthropoda | Insecta | Diptera | Tephritidae | Anastrepha | Anastrepha fraterculus","EOL:1 | EOL:164 | EOL:344 | EOL:421 | EOL:9023 | EOL:79415 | EOL:723915",,,,,,,,,"Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.",,"Sarah E. Miller.  04/14/2015.  Information extracted from litterature Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.. Accessed at <https://zenodo.org/record/258215/files/millerse/Fly-parasites-v1.0.zip> on 24 Sep 2018."
"Opius","Animalia | Arthropoda | Insecta | Hymenoptera | Ichneumonoidea | Braconidae | Opius","EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:660 | EOL:661 | EOL:72936",,,,,,,"parasiteOf","Anastrepha obliqua","Animalia | Arthropoda | Insecta | Diptera | Tephritidae | Anastrepha | Anastrepha obliqua","EOL:1 | EOL:164 | EOL:344 | EOL:421 | EOL:9023 | EOL:79415 | EOL:725206",,,,,,,,,"Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.",,"Sarah E. Miller.  04/14/2015.  Information extracted from litterature Wharton, Robert A, and Paul M Marsh. New World Opiinae (Hymenoptera: Braconidae) Parasitic on Tephritidae (Diptera). Journal of the Washington Academy of Sciences 68 (1978): 21. http://www.biodiversitylibrary.org/part/50699.. Accessed at <https://zenodo.org/record/258215/files/millerse/Fly-parasites-v1.0.zip> on 24 Sep 2018."
